CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.94714,0.04043,2.17768,0.00547,-0.00544,Calculated,0.14757,1.9E-4,-1.8E-4,Carter et al. 2024,1.3183,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
2.98732,0.03992,2.18258,0.00547,-0.00551,Calculated,0.14774,1.9E-4,-1.9E-4,Carter et al. 2024,1.3198,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.02699,0.03942,2.18152,0.00579,-0.00579,Calculated,0.1477,2.0E-4,-2.0E-4,Carter et al. 2024,1.3194,0.0295,-0.0295,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.06617,0.03894,2.16506,0.00576,-0.00565,Calculated,0.14714,2.0E-4,-1.9E-4,Carter et al. 2024,1.3144,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.10488,0.03847,2.15654,0.00584,-0.00583,Calculated,0.14685,2.0E-4,-2.0E-4,Carter et al. 2024,1.3119,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.14313,0.03802,2.15898,0.00599,-0.00618,Calculated,0.14693,2.0E-4,-2.1E-4,Carter et al. 2024,1.3126,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.18093,0.03758,2.15086,0.00611,-0.00616,Calculated,0.14666,2.1E-4,-2.1E-4,Carter et al. 2024,1.3101,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.2183,0.03716,2.15374,0.00604,-0.00608,Calculated,0.14676,2.1E-4,-2.1E-4,Carter et al. 2024,1.311,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.25525,0.03674,2.12699,0.0062,-0.00632,Calculated,0.14584,2.1E-4,-2.2E-4,Carter et al. 2024,1.3028,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.29179,0.03634,2.12806,0.00651,-0.00651,Calculated,0.14588,2.2E-4,-2.2E-4,Carter et al. 2024,1.3032,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.32794,0.03595,2.13737,0.00658,-0.00654,Calculated,0.1462,2.2E-4,-2.2E-4,Carter et al. 2024,1.306,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.3637,0.03557,2.14502,0.00678,-0.00685,Calculated,0.14646,2.3E-4,-2.3E-4,Carter et al. 2024,1.3083,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.3991,0.03521,2.13795,0.00698,-0.00704,Calculated,0.14622,2.4E-4,-2.4E-4,Carter et al. 2024,1.3062,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.43412,0.03485,2.13405,0.00715,-0.0071,Calculated,0.14608,2.4E-4,-2.4E-4,Carter et al. 2024,1.305,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.4688,0.0345,2.13605,0.00709,-0.0072,Calculated,0.14615,2.4E-4,-2.5E-4,Carter et al. 2024,1.3056,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.50312,0.03416,2.13059,0.00733,-0.00749,Calculated,0.14597,2.5E-4,-2.6E-4,Carter et al. 2024,1.3039,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.53712,0.03383,2.12951,0.00749,-0.00752,Calculated,0.14593,2.6E-4,-2.6E-4,Carter et al. 2024,1.3036,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
