CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
1.26532,0.01289,1.88031,0.00421,-0.00421,Fournier-Tondreau et al. 2024,0.13712,1.5E-4,-1.5E-4,Calculated,0.9995,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.27821,0.01302,1.87256,0.00425,-0.00425,Fournier-Tondreau et al. 2024,0.13684,1.6E-4,-1.6E-4,Calculated,0.9974,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.29123,0.01316,1.87683,0.00433,-0.00433,Fournier-Tondreau et al. 2024,0.137,1.6E-4,-1.6E-4,Calculated,0.9985,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.30439,0.01329,1.89713,0.00433,-0.00433,Fournier-Tondreau et al. 2024,0.13774,1.6E-4,-1.6E-4,Calculated,1.0039,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.31768,0.01343,1.89085,0.00439,-0.00439,Fournier-Tondreau et al. 2024,0.13751,1.6E-4,-1.6E-4,Calculated,1.0022,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.33111,0.01356,1.89104,0.0044,-0.0044,Fournier-Tondreau et al. 2024,0.13752,1.6E-4,-1.6E-4,Calculated,1.0023,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.34467,0.0137,1.8963,0.00443,-0.00443,Fournier-Tondreau et al. 2024,0.13771,1.6E-4,-1.6E-4,Calculated,1.0037,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.35837,0.01384,1.91374,0.00455,-0.00455,Fournier-Tondreau et al. 2024,0.13834,1.6E-4,-1.6E-4,Calculated,1.0083,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.37221,0.01398,1.90961,0.00451,-0.00451,Fournier-Tondreau et al. 2024,0.13819,1.6E-4,-1.6E-4,Calculated,1.0072,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.38619,0.01412,1.90952,0.00455,-0.00455,Fournier-Tondreau et al. 2024,0.13819,1.6E-4,-1.6E-4,Calculated,1.0072,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.40032,0.01427,1.89841,0.00465,-0.00465,Fournier-Tondreau et al. 2024,0.13778,1.7E-4,-1.7E-4,Calculated,1.0042,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.41459,0.01441,1.88884,0.00464,-0.00464,Fournier-Tondreau et al. 2024,0.13743,1.7E-4,-1.7E-4,Calculated,1.0017,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.429,0.01456,1.89594,0.00453,-0.00453,Fournier-Tondreau et al. 2024,0.13769,1.6E-4,-1.6E-4,Calculated,1.0036,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.44356,0.01471,1.8844,0.00469,-0.00469,Fournier-Tondreau et al. 2024,0.13727,1.7E-4,-1.7E-4,Calculated,1.0005,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.45827,0.01486,1.89359,0.00467,-0.00467,Fournier-Tondreau et al. 2024,0.13761,1.7E-4,-1.7E-4,Calculated,1.003,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.47313,0.01501,1.87755,0.00462,-0.00462,Fournier-Tondreau et al. 2024,0.13702,1.7E-4,-1.7E-4,Calculated,0.9987,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.48814,0.01516,1.89568,0.00476,-0.00476,Fournier-Tondreau et al. 2024,0.13768,1.7E-4,-1.7E-4,Calculated,1.0035,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.5033,0.01532,1.88192,0.00484,-0.00484,Fournier-Tondreau et al. 2024,0.13718,1.8E-4,-1.8E-4,Calculated,0.9999,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.51862,0.01547,1.8843,0.00496,-0.00496,Fournier-Tondreau et al. 2024,0.13727,1.8E-4,-1.8E-4,Calculated,1.0005,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.53409,0.01563,1.87501,0.00485,-0.00485,Fournier-Tondreau et al. 2024,0.13693,1.8E-4,-1.8E-4,Calculated,0.998,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.54972,0.01579,1.86434,0.00496,-0.00496,Fournier-Tondreau et al. 2024,0.13654,1.8E-4,-1.8E-4,Calculated,0.9952,0.0492,-0.0492,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.56551,0.01595,1.87874,0.00491,-0.00491,Fournier-Tondreau et al. 2024,0.13707,1.8E-4,-1.8E-4,Calculated,0.999,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.58147,0.01611,1.86826,0.00514,-0.00514,Fournier-Tondreau et al. 2024,0.13668,1.9E-4,-1.9E-4,Calculated,0.9962,0.0492,-0.0492,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.59758,0.01628,1.86978,0.00536,-0.00536,Fournier-Tondreau et al. 2024,0.13674,2.0E-4,-2.0E-4,Calculated,0.9966,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.61386,0.01644,1.8612,0.00535,-0.00535,Fournier-Tondreau et al. 2024,0.13643,2.0E-4,-2.0E-4,Calculated,0.9944,0.0491,-0.0491,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.6303,0.01661,1.86168,0.0054,-0.0054,Fournier-Tondreau et al. 2024,0.13644,2.0E-4,-2.0E-4,Calculated,0.9945,0.0491,-0.0491,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.64691,0.01678,1.87651,0.00522,-0.00522,Fournier-Tondreau et al. 2024,0.13699,1.9E-4,-1.9E-4,Calculated,0.9984,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.66369,0.01695,1.86415,0.00544,-0.00544,Fournier-Tondreau et al. 2024,0.13653,2.0E-4,-2.0E-4,Calculated,0.9951,0.0492,-0.0492,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.68065,0.01712,1.87985,0.00541,-0.00541,Fournier-Tondreau et al. 2024,0.13711,2.0E-4,-2.0E-4,Calculated,0.9993,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
